69 [D loss: 2.675057, acc.: 67.19%, op_acc: 20.31%] [G loss: 3.490777]
70 [D loss: 2.809650, acc.: 67.19%, op_acc: 17.19%] [G loss: 3.359302]
71 [D loss: 2.824554, acc.: 79.69%, op_acc: 18.75%] [G loss: 3.257951]
72 [D loss: 2.988571, acc.: 68.75%, op_acc: 12.50%] [G loss: 3.465132]
73 [D loss: 3.000662, acc.: 67.19%, op_acc: 18.75%] [G loss: 3.467562]
74 [D loss: 3.029271, acc.: 62.50%, op_acc: 20.31%] [G loss: 3.700269]
75 [D loss: 2.947884, acc.: 64.06%, op_acc: 23.44%] [G loss: 3.541167]
76 [D loss: 2.790288, acc.: 76.56%, op_acc: 23.44%] [G loss: 3.492268]
77 [D loss: 2.837426, acc.: 65.62%, op_acc: 29.69%] [G loss: 3.292851]
78 [D loss: 2.903685, acc.: 78.12%, op_acc: 26.56%] [G loss: 3.274998]
79 [D loss: 2.841497, acc.: 67.19%, op_acc: 26.56%] [G loss: 3.451272]
80 [D loss: 3.083040, acc.: 51.56%, op_acc: 21.88%] [G loss: 3.209932]
81 [D loss: 2.904549, acc.: 59.38%, op_acc: 18.75%] [G loss: 3.330541]
82 [D loss: 2.553687, acc.: 67.19%, op_acc: 32.81%] [G loss: 3.564870]
83 [D loss: 3.122779, acc.: 53.12%, op_acc: 17.19%] [G loss: 3.673106]
84 [D loss: 2.903699, acc.: 68.75%, op_acc: 18.75%] [G loss: 3.542328]
85 [D loss: 2.910465, acc.: 70.31%, op_acc: 20.31%] [G loss: 3.226935]
86 [D loss: 2.688388, acc.: 65.62%, op_acc: 29.69%] [G loss: 3.492083]
87 [D loss: 2.748623, acc.: 57.81%, op_acc: 23.44%] [G loss: 3.442050]
88 [D loss: 2.858370, acc.: 57.81%, op_acc: 25.00%] [G loss: 3.308951]
89 [D loss: 2.955804, acc.: 64.06%, op_acc: 21.88%] [G loss: 3.288142]
90 [D loss: 2.840215, acc.: 54.69%, op_acc: 23.44%] [G loss: 3.300797]
91 [D loss: 3.091382, acc.: 62.50%, op_acc: 18.75%] [G loss: 3.356632]
92 [D loss: 2.921225, acc.: 64.06%, op_acc: 17.19%] [G loss: 3.225395]
93 [D loss: 2.707585, acc.: 70.31%, op_acc: 25.00%] [G loss: 3.224726]
94 [D loss: 2.903444, acc.: 46.88%, op_acc: 25.00%] [G loss: 3.492384]
95 [D loss: 2.667235, acc.: 68.75%, op_acc: 37.50%] [G loss: 3.802925]
96 [D loss: 2.670360, acc.: 71.88%, op_acc: 29.69%] [G loss: 3.127503]
97 [D loss: 2.843423, acc.: 64.06%, op_acc: 20.31%] [G loss: 3.666914]
98 [D loss: 2.635606, acc.: 71.88%, op_acc: 23.44%] [G loss: 3.317108]
99 [D loss: 2.709404, acc.: 62.50%, op_acc: 28.12%] [G loss: 3.394047]
100 [D loss: 2.860185, acc.: 60.94%, op_acc: 21.88%] [G loss: 3.488354]
101 [D loss: 2.917046, acc.: 56.25%, op_acc: 21.88%] [G loss: 3.429037]
